1518-02-05 00:00, #3109
1518-02-05 00:50, asleep
1518-02-05 00:54, up
1518-02-05 00:57, asleep
1518-02-05 00:58, up
1518-02-06 00:03, #2411
1518-02-06 00:07, asleep
1518-02-06 00:43, up
1518-02-06 23:52, #3109
1518-02-07 00:03, asleep
1518-02-07 00:30, up
1518-02-07 00:41, asleep
1518-02-07 00:48, up
1518-02-07 23:50, #2411
1518-02-08 00:02, asleep
1518-02-08 00:16, up
1518-02-08 23:52, #191
1518-02-09 00:05, asleep
1518-02-09 00:11, up
1518-02-09 00:25, asleep
1518-02-09 00:53, up
1518-02-09 23:57, #2411
1518-02-10 00:19, asleep
1518-02-10 00:55, up
1518-02-11 00:00, #1291
1518-02-11 00:06, asleep
1518-02-11 00:44, up
1518-02-12 00:00, #2999
1518-02-12 00:24, asleep
1518-02-12 00:29, up
1518-02-12 00:48, asleep
1518-02-12 00:54, up
1518-02-13 00:04, #2053
1518-02-13 00:37, asleep
1518-02-13 00:57, up
1518-02-13 23:58, #137
1518-02-15 00:00, #811
1518-02-15 00:19, asleep
1518-02-15 00:31, up
1518-02-15 00:49, asleep
1518-02-15 00:59, up
1518-02-16 00:00, #239
1518-02-16 00:19, asleep
1518-02-16 00:57, up
1518-02-17 00:02, #941
1518-02-17 00:33, asleep
1518-02-17 00:42, up
1518-02-17 00:53, asleep
1518-02-17 00:59, up
1518-02-17 23:56, #1327
1518-02-18 00:52, asleep
1518-02-18 00:59, up
1518-02-18 23:59, #2459
1518-02-19 00:30, asleep
1518-02-19 00:46, up
1518-02-20 00:02, #2381
1518-02-20 00:11, asleep
1518-02-20 00:35, up
1518-02-21 00:00, #941
1518-02-21 00:50, asleep
1518-02-21 00:57, up
1518-02-22 00:00, #941
1518-02-22 00:31, asleep
1518-02-22 00:48, up
1518-02-23 00:02, #941
1518-02-23 00:07, asleep
1518-02-23 00:43, up
1518-02-23 23:59, #1229
1518-02-24 00:25, asleep
1518-02-24 00:43, up
1518-02-24 00:57, asleep
1518-02-24 00:59, up
1518-02-25 00:01, #1229
1518-02-25 00:37, asleep
1518-02-25 00:47, up
1518-02-25 00:57, asleep
1518-02-25 00:58, up
1518-02-26 00:03, #239
1518-02-26 00:34, asleep
1518-02-26 00:43, up
1518-02-26 00:47, asleep
1518-02-26 00:55, up
1518-02-26 23:56, #2897
1518-02-27 00:37, asleep
1518-02-27 00:54, up
1518-02-27 23:56, #811
1518-02-28 00:50, asleep
1518-02-28 00:59, up
1518-02-28 23:56, #1229
1518-03-01 00:35, asleep
1518-03-01 00:48, up
1518-03-01 23:57, #1009
1518-03-02 00:17, asleep
1518-03-02 00:28, up
1518-03-02 00:35, asleep
1518-03-02 00:48, up
1518-03-02 23:57, #1229
1518-03-03 00:26, asleep
1518-03-03 00:34, up
1518-03-03 00:39, asleep
1518-03-03 00:54, up
1518-03-04 00:03, #191
1518-03-04 00:20, asleep
1518-03-04 00:54, up
1518-03-05 00:03, #2137
1518-03-05 00:12, asleep
1518-03-05 00:31, up
1518-03-06 00:02, #1327
1518-03-06 00:24, asleep
1518-03-06 00:53, up
1518-03-06 23:52, #1291
1518-03-07 00:01, asleep
1518-03-07 00:25, up
1518-03-07 00:28, asleep
1518-03-07 00:35, up
1518-03-07 00:40, asleep
1518-03-07 00:51, up
1518-03-07 00:54, asleep
1518-03-07 00:58, up
1518-03-07 23:46, #2999
1518-03-08 00:03, asleep
1518-03-08 00:22, up
1518-03-08 00:25, asleep
1518-03-08 00:59, up
1518-03-09 00:03, #2053
1518-03-09 00:34, asleep
1518-03-09 00:49, up
1518-03-09 23:56, #2381
1518-03-10 00:33, asleep
1518-03-10 00:40, up
1518-03-10 00:52, asleep
1518-03-10 00:59, up
1518-03-11 00:00, #1009
1518-03-11 00:42, asleep
1518-03-11 00:55, up
1518-03-11 23:49, #1327
1518-03-12 00:04, asleep
1518-03-12 00:27, up
1518-03-12 00:47, asleep
1518-03-12 00:51, up
1518-03-12 00:56, asleep
1518-03-12 00:59, up
1518-03-13 00:04, #1229
1518-03-13 00:08, asleep
1518-03-13 00:13, up
1518-03-13 00:21, asleep
1518-03-13 00:26, up
1518-03-13 23:59, #1009
1518-03-14 00:09, asleep
1518-03-14 00:41, up
1518-03-14 00:54, asleep
1518-03-14 00:58, up
1518-03-15 00:00, #1327
1518-03-15 00:31, asleep
1518-03-15 00:49, up
1518-03-15 23:57, #239
1518-03-16 00:19, asleep
1518-03-16 00:39, up
1518-03-16 00:42, asleep
1518-03-16 00:50, up
1518-03-17 00:04, #811
1518-03-17 00:06, asleep
1518-03-17 00:59, up
1518-03-18 00:03, #2381
1518-03-18 00:48, asleep
1518-03-18 00:57, up
1518-03-19 00:04, #239
1518-03-19 00:15, asleep
1518-03-19 00:41, up
1518-03-19 00:48, asleep
1518-03-19 00:49, up
